title,size,price,bedrooms,bathrooms
فيلا للبيع في شارع الناقورة ، حي نمار ، الرياض,640.0,1800000.0,4.70312813314618,4.0
فيلا للبيع في حي الياسمين ، الرياض,447.0,1460000.0,4.0,4.0
فيلا للبيع في شارع الفيء ، حي الربيع ، الرياض,450.0,1750000.0,4.0,5.0
فيلا للبيع في الرياض,336.0,1200000.0,4.0,5.0
فيلا للبيع في شارع وادي الساحل ، الرياض,373.0,1230000.0,4.0,4.0
فيلا للبيع في الرياض,300.0,1500000.0,5.0,4.0
"فيلا للبيع في شارع الغاط, التعاون, الرياض",625.0,3000000.0,5.0,5.0
فيلا للبيع في الرياض,270.0,1050000.0,5.0,5.0
فيلا للبيع في شارع زينب بنت خزيمة ، حي الملك فهد ، الرياض,475.6799679165831,3000000.0,3.0,4.449167836374574
فيلا للبيع في حي الملقا ، الرياض,340.0,2300000.0,4.0,5.0
فيلا للبيع في شارع اوس بن عوف ، حي العقيق ، الرياض,237.0,1600000.0,4.0,5.0
فيلا للبيع في الرياض,475.0,1080000.0,5.0,5.0
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، الرياض,430.0,1430000.0,6.0,5.0
فيلا للبيع في حي أحد ، الرياض,337.0,780000.0,5.0,4.0
فيلا للبيع في شارع لزمة ، حي حطين ، الرياض,475.6799679165831,1895102.5614597956,4.70312813314618,5.0
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,270.0,1400000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,651.0,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,310.0,1100000.0,6.0,5.0
فيلا للبيع في شارع رقم 312 ، الرياض,500.0,1895102.5614597956,5.0,5.0
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,216.0,1300000.0,4.0,5.0
فيلا للبيع في حي الرمال ، الرياض,310.0,1120000.0,4.0,5.0
فيلا للبيع في شارع علي البجادي ، الرياض,235.0,960000.0,5.0,5.0
فيلا للبيع في حي القيروان ، الرياض,338.0,1900000.0,4.70312813314618,5.0
فيلا للبيع في الرياض,351.0,1600000.0,3.0,5.0
فيلا للبيع في شارع الثامله ، حي الرحمانية ، الرياض,185.0,1200000.0,4.0,5.0
فيلا للبيع في الرياض,266.0,950000.0,4.0,5.0
فيلا للبيع في شارع ابن الفاخوري ، حي السويدي ، الرياض,460.0,650000.0,4.70312813314618,5.0
فيلا للبيع في شارع مسلط بن الأزمع ، الرياض,240.0,850000.0,5.0,4.0
فيلا للبيع في حي الرمال ، الرياض,372.0,1200000.0,4.0,4.0
فيلا للبيع في حي الملقا ، الرياض,410.0,2600000.0,4.0,4.0
