time_duration,neighborhood
7 days 00:00:00,نمار
0 days 00:01:00,الياسمين
1 days 00:00:00,الربيع
91 days 06:00:00,طويق
0 days 13:00:00,الرمال
0 days 04:00:00,النرجس
2 days 00:00:00,التعاون
3 days 00:00:00,طويق
0 days 11:00:00,فهد
0 days 04:00:00,الملقا
0 days 00:01:00,العقيق
0 days 12:00:00,طويق
14 days 00:00:00,طويق
30 days 10:00:00,أحد
0 days 23:00:00,حطين
7 days 00:00:00,العارض
0 days 04:00:00,الياسمين
2 days 00:00:00,الرمال
0 days 21:00:00,الملقا
7 days 00:00:00,العارض
60 days 20:00:00,الرمال
7 days 00:00:00,الرمال
21 days 00:00:00,القيروان
7 days 00:00:00,النرجس
0 days 14:00:00,الرحمانية
6 days 00:00:00,المهدية
4 days 00:00:00,السويدي
6 days 00:00:00,طويق
1 days 00:00:00,الرمال
1 days 00:00:00,الملقا
0 days 13:00:00,الرمال
0 days 04:00:00,النرجس
4 days 00:00:00,المهدية
0 days 04:00:00,حطين
0 days 07:00:00,النرجس
2 days 00:00:00,طويق
3 days 00:00:00,العارض
0 days 07:00:00,نمار
60 days 20:00:00,الجنادرية
60 days 20:00:00,أحد
0 days 09:00:00,السعادة
30 days 10:00:00,العزيزية
30 days 10:00:00,نمار
2 days 00:00:00,القادسية
6 days 00:00:00,الشهداء
0 days 05:00:00,طويق
91 days 06:00:00,الجنادرية
0 days 10:00:00,طويق
0 days 13:00:00,الرمال
0 days 07:00:00,العارض
7 days 00:00:00,عكاظ
5 days 00:00:00,نمار
30 days 10:00:00,المونسية
2 days 00:00:00,المونسية
0 days 11:00:00,الياسمين
0 days 08:00:00,القدس
0 days 19:00:00,طويق
0 days 05:00:00,الياسمين
21 days 00:00:00,المونسية
0 days 07:00:00,طويق
2 days 00:00:00,الرمال
30 days 10:00:00,القادسية
21 days 00:00:00,المونسية
30 days 10:00:00,الربيع
1 days 00:00:00,طويق
3 days 00:00:00,طويق
4 days 00:00:00,المهدية
6 days 00:00:00,الحزم
7 days 00:00:00,الزهرة
0 days 05:00:00,عبدالله
3 days 00:00:00,المهدية
1 days 00:00:00,الرمال
7 days 00:00:00,النرجس
7 days 00:00:00,طويق
60 days 20:00:00,النرجس
5 days 00:00:00,الغربي
0 days 07:00:00,العارض
30 days 10:00:00,الحزم
0 days 03:00:00,نمار
0 days 22:00:00,ديراب
60 days 20:00:00,طويق
3 days 00:00:00,الفيحاء
60 days 20:00:00,الجنادرية
2 days 00:00:00,عبدالله
0 days 12:00:00,الياسمين
30 days 10:00:00,القادسية
0 days 06:00:00,الملقا
1 days 00:00:00,الياسمين
0 days 10:00:00,طويق
7 days 00:00:00,عكاظ
21 days 00:00:00,طويق
0 days 07:00:00,المهدية
3 days 00:00:00,الحزم
0 days 04:00:00,الياسمين
21 days 00:00:00,العارض
0 days 12:00:00,طويق
0 days 07:00:00,العارض
0 days 09:00:00,القادسية
30 days 10:00:00,العارض
0 days 06:00:00,الربيع
14 days 00:00:00,طويق
30 days 10:00:00,الملقا
21 days 00:00:00,العارض
4 days 00:00:00,المهدية
0 days 07:00:00,الملقا
4 days 00:00:00,الرمال
0 days 10:00:00,طويق
91 days 06:00:00,طويق
91 days 06:00:00,الجنادرية
0 days 11:00:00,الصحافة
0 days 06:00:00,الياسمين
30 days 10:00:00,طويق
0 days 19:00:00,طويق
30 days 10:00:00,الرمال
0 days 08:00:00,طويق
1 days 00:00:00,طويق
7 days 00:00:00,العارض
1 days 00:00:00,طويق
2 days 00:00:00,حطين
2 days 00:00:00,طويق
1 days 00:00:00,القيروان
2 days 00:00:00,فيصل
0 days 04:00:00,الياسمين
14 days 00:00:00,العارض
0 days 19:00:00,الحزم
5 days 00:00:00,الحزم
14 days 00:00:00,الملقا
0 days 05:00:00,طويق
0 days 10:00:00,طويق
0 days 06:00:00,حطين
3 days 00:00:00,طويق
0 days 09:00:00,الشرق
0 days 11:00:00,الملقا
0 days 23:00:00,الندى
7 days 00:00:00,العارض
5 days 00:00:00,النرجس
0 days 04:00:00,العارض
0 days 10:00:00,النرجس
60 days 20:00:00,طويق
0 days 12:00:00,طويق
0 days 07:00:00,المهدية
2 days 00:00:00,النهضة
60 days 20:00:00,الشرق
0 days 12:00:00,الملقا
21 days 00:00:00,الرمال
14 days 00:00:00,الندى
0 days 06:00:00,النرجس
1 days 00:00:00,طويق
2 days 00:00:00,المونسية
3 days 00:00:00,المهدية
0 days 05:00:00,الرمال
3 days 00:00:00,النرجس
7 days 00:00:00,النرجس
0 days 04:00:00,القيروان
7 days 00:00:00,اليرموك
0 days 22:00:00,العارض
0 days 06:00:00,الياسمين
0 days 07:00:00,المهدية
14 days 00:00:00,العزيزية
0 days 07:00:00,طويق
2 days 00:00:00,الشرق
3 days 00:00:00,الجنادرية
3 days 00:00:00,لبن
60 days 20:00:00,طويق
3 days 00:00:00,الياسمين
2 days 00:00:00,العارض
0 days 04:00:00,الياسمين
1 days 00:00:00,النرجس
0 days 12:00:00,طويق
2 days 00:00:00,الخزامى
0 days 05:00:00,المهدية
30 days 10:00:00,قرطبة
0 days 07:00:00,العارض
30 days 10:00:00,المهدية
7 days 00:00:00,طويق
0 days 01:00:00,النخيل
2 days 00:00:00,الرمال
